region,year,Nat,Ant,Grand Total,percent_Nat,percent_Ant
AMZ01,1985,271133.9609,6163.756581,283766.7503,0.955481784,0.021721208
AMZ01,1986,271270.4515,5931.414027,283766.7503,0.95596278,0.020902428
AMZ01,1987,271434.1824,5572.511781,283766.7503,0.956539771,0.019637649
AMZ01,1988,271363.7212,5329.635013,283766.7503,0.956291464,0.018781746
AMZ01,1989,271748.7356,5091.080733,283766.7503,0.957648263,0.017941076
AMZ01,1990,272038.9893,4571.929584,283766.7503,0.958671123,0.016111576
AMZ01,1991,271225.3252,5333.514118,283766.7503,0.955803754,0.018795416
AMZ01,1992,269454.0606,6950.840272,283766.7503,0.94956178,0.024494907
AMZ01,1993,268494.4731,8019.748835,283766.7503,0.946180174,0.028261764
AMZ01,1994,268298.1582,8242.001865,283766.7503,0.945488356,0.029044988
AMZ01,1995,267799.4196,8567.729432,283766.7503,0.943730791,0.030192859
AMZ01,1996,266788.4982,9007.303052,283766.7503,0.940168282,0.031741926
AMZ01,1997,266553.7099,9172.447685,283766.7503,0.939340883,0.032323899
AMZ01,1998,265917.339,10274.11031,283766.7503,0.937098299,0.036206181
AMZ01,1999,265129.8856,10361.07786,283766.7503,0.934323297,0.036512656
AMZ01,2000,266789.1698,9615.45519,283766.7503,0.940170649,0.033885066
AMZ01,2001,266446.1046,9970.379478,283766.7503,0.93896168,0.035135827
AMZ01,2002,265442.2373,10845.30163,283766.7503,0.935424031,0.038219071
AMZ01,2003,266087.1366,10271.27964,283766.7503,0.937696669,0.036196206
AMZ01,2004,266187.8777,10092.94349,283766.7503,0.938051683,0.035567745
AMZ01,2005,266225.432,10071.56796,283766.7503,0.938184025,0.035492417
AMZ01,2006,265887.3417,10195.17107,283766.7503,0.936992588,0.035927997
AMZ01,2007,266111.059,9886.652596,283766.7503,0.937780972,0.034840772
AMZ01,2008,266508.3216,9648.815504,283766.7503,0.939180934,0.034002629
AMZ01,2009,266158.3535,10146.78175,283766.7503,0.937947639,0.035757472
AMZ01,2010,266626.6523,9785.693265,283766.7503,0.939597934,0.034484989
AMZ01,2011,266829.9921,9519.957354,283766.7503,0.940314508,0.03354853
AMZ01,2012,266824.5125,9564.998714,283766.7503,0.940295197,0.033707257
AMZ01,2013,267050.6239,9660.047981,283766.7503,0.941092019,0.034042212
AMZ01,2014,266441.2386,10213.24074,283766.7503,0.938944532,0.035991675
AMZ01,2015,266122.9315,10604.9821,283766.7503,0.937822811,0.03737218
AMZ01,2016,265493.8577,11431.17239,283766.7503,0.935605942,0.040283692
AMZ01,2017,265508.8469,11359.58645,283766.7503,0.935658764,0.040031422
AMZ01,2018,265704.3411,11140.17345,283766.7503,0.93634769,0.039258206
AMZ02,1985,243455.2974,4508.936275,258904.8703,0.940327222,0.017415417
AMZ02,1986,243990.034,3710.386207,258904.8703,0.9423926,0.014331079
AMZ02,1987,243817.453,3817.745872,258904.8703,0.94172602,0.014745748
AMZ02,1988,242684.2346,3932.087084,258904.8703,0.937349051,0.015187382
AMZ02,1989,241805.6196,3295.050863,258904.8703,0.933955469,0.012726879
AMZ02,1990,241528.669,3032.967034,258904.8703,0.932885769,0.0117146
AMZ02,1991,241435.3384,3113.246823,258904.8703,0.932525287,0.012024675
AMZ02,1992,241170.8075,3838.430441,258904.8703,0.931503557,0.01482564
AMZ02,1993,240180.6566,4121.880715,258904.8703,0.927679175,0.015920445
AMZ02,1994,239892.4907,4421.231912,258904.8703,0.926566157,0.017076666
AMZ02,1995,240112.0851,4361.390952,258904.8703,0.927414323,0.016845535
AMZ02,1996,239689.4747,4492.83068,258904.8703,0.925782023,0.01735321
AMZ02,1997,239631.4937,4872.381603,258904.8703,0.925558076,0.018819196
AMZ02,1998,239637.6971,5046.090875,258904.8703,0.925582036,0.019490135
AMZ02,1999,238158.2982,5182.85305,258904.8703,0.919867973,0.020018368
AMZ02,2000,238838.6968,5048.78035,258904.8703,0.92249596,0.019500523
AMZ02,2001,238873.7597,5171.010732,258904.8703,0.922631387,0.019972628
AMZ02,2002,238969.3336,5123.518247,258904.8703,0.923000534,0.019789192
AMZ02,2003,239212.2091,5288.108232,258904.8703,0.923938622,0.020424908
AMZ02,2004,239061.9675,5654.355628,258904.8703,0.923358325,0.02183951
AMZ02,2005,238148.9361,5657.079491,258904.8703,0.919831812,0.021850031
AMZ02,2006,237952.388,5731.495368,258904.8703,0.919072661,0.022137457
AMZ02,2007,238228.4759,5438.289803,258904.8703,0.920139029,0.021004973
AMZ02,2008,238137.6565,5194.706137,258904.8703,0.919788246,0.02006415
AMZ02,2009,237744.9717,5450.050518,258904.8703,0.918271531,0.021050398
AMZ02,2010,238337.078,5614.387953,258904.8703,0.920558496,0.021685138
AMZ02,2011,238357.7102,5372.517372,258904.8703,0.920638186,0.020750932
AMZ02,2012,238103.9708,5203.69649,258904.8703,0.919658137,0.020098874
AMZ02,2013,237933.8821,5383.642581,258904.8703,0.919001183,0.020793902
AMZ02,2014,237620.4468,5543.257513,258904.8703,0.917790563,0.021410403
AMZ02,2015,237692.1824,5845.307642,258904.8703,0.918067637,0.022577048
AMZ02,2016,237896.6328,6319.699411,258904.8703,0.918857311,0.024409349
AMZ02,2017,237578.4431,6223.930465,258904.8703,0.917628327,0.024039449
AMZ02,2018,238055.5943,5935.418733,258904.8703,0.919471287,0.022925095
AMZ03,1985,379891.5015,3060.756691,396011.994,0.959292919,0.007728949
AMZ03,1986,378625.3464,2343.703025,396011.994,0.956095654,0.005918263
AMZ03,1987,377552.5835,2507.272319,396011.994,0.953386739,0.006331304
AMZ03,1988,378696.8445,2686.806944,396011.994,0.956276199,0.006784661
AMZ03,1989,378524.4246,2859.831685,396011.994,0.955840809,0.007221578
AMZ03,1990,377434.145,2772.349227,396011.994,0.953087661,0.00700067
AMZ03,1991,375732.1353,2788.150025,396011.994,0.948789787,0.00704057
AMZ03,1992,375897.3921,3043.973774,396011.994,0.949207089,0.00768657
AMZ03,1993,375295.3836,3553.141508,396011.994,0.947686912,0.008972308
AMZ03,1994,377002.9189,3698.731021,396011.994,0.951998739,0.009339947
AMZ03,1995,376267.5732,3684.504029,396011.994,0.950141862,0.009304021
AMZ03,1996,374789.6706,3947.773132,396011.994,0.946409897,0.009968822
AMZ03,1997,377227.7143,4071.525976,396011.994,0.952566387,0.01028132
AMZ03,1998,377403.9145,4687.181692,396011.994,0.953011323,0.011835959
AMZ03,1999,374452.3239,5347.246677,396011.994,0.945558038,0.013502739
AMZ03,2000,377674.8878,5627.308926,396011.994,0.953695579,0.014209946
AMZ03,2001,378462.9223,6179.046118,396011.994,0.955685505,0.015603179
AMZ03,2002,378478.2564,6628.040542,396011.994,0.955724226,0.016736969
AMZ03,2003,378265.078,6949.983427,396011.994,0.955185913,0.017549932
AMZ03,2004,377928.7356,7159.13546,396011.994,0.954336589,0.018078077
AMZ03,2005,375050.6252,7329.388368,396011.994,0.947068854,0.018507996
AMZ03,2006,374585.965,7673.567526,396011.994,0.945895505,0.019377109
AMZ03,2007,375188.8149,7882.244351,396011.994,0.947417807,0.019904055
AMZ03,2008,375173.8676,7822.892772,396011.994,0.947380062,0.019754181
AMZ03,2009,375902.8012,7838.582636,396011.994,0.949220748,0.019793801
AMZ03,2010,376062.7344,7983.485249,396011.994,0.949624608,0.020159706
AMZ03,2011,375772.5554,7807.871923,396011.994,0.948891855,0.019716251
AMZ03,2012,375435.8946,7578.781112,396011.994,0.948041727,0.019137756
AMZ03,2013,376552.1452,7689.383405,396011.994,0.950860456,0.019417047
AMZ03,2014,376028.7719,8444.791849,396011.994,0.949538846,0.021324586
AMZ03,2015,376084.5986,9082.814038,396011.994,0.949679819,0.022935704
AMZ03,2016,375058.5786,10037.48052,396011.994,0.947088937,0.025346405
AMZ03,2017,374328.5844,10082.82727,396011.994,0.945245574,0.025460914
AMZ03,2018,374306.7861,10287.49693,396011.994,0.945190529,0.025977741
AMZ04,1985,310918.2716,650.7464087,315712.6186,0.984814205,0.002061199
AMZ04,1986,310933.4598,632.8330752,315712.6186,0.984862313,0.002004459
AMZ04,1987,310927.5561,651.160838,315712.6186,0.984843613,0.002062511
AMZ04,1988,310863.316,716.1993703,315712.6186,0.984640137,0.002268517
AMZ04,1989,310848.8307,820.1162824,315712.6186,0.984594256,0.002597667
AMZ04,1990,310750.0763,864.9203409,315712.6186,0.984281457,0.002739581
AMZ04,1991,310642.7758,909.4176904,315712.6186,0.98394159,0.002880524
AMZ04,1992,310653.4303,934.3542843,315712.6186,0.983975337,0.002959509
AMZ04,1993,310551.1769,1032.085539,315712.6186,0.983651456,0.003269066
AMZ04,1994,310495.3956,1087.13604,315712.6186,0.983474772,0.003443436
AMZ04,1995,310277.575,1187.10149,315712.6186,0.982784839,0.00376007
AMZ04,1996,310212.5998,1270.154004,315712.6186,0.982579034,0.004023133
AMZ04,1997,310266.6664,1312.347226,315712.6186,0.982750287,0.004156778
AMZ04,1998,310278.5076,1368.284513,315712.6186,0.982787793,0.004333956
AMZ04,1999,310149.7327,1452.594924,315712.6186,0.982379906,0.004601004
AMZ04,2000,310234.7855,1511.539559,315712.6186,0.982649306,0.004787707
AMZ04,2001,310296.5576,1552.819867,315712.6186,0.982844965,0.00491846
AMZ04,2002,310209.788,1602.339593,315712.6186,0.982570128,0.005075311
AMZ04,2003,310056.1436,1674.13789,315712.6186,0.982083469,0.005302727
AMZ04,2004,310010.0243,1710.734715,315712.6186,0.981937389,0.005418645
AMZ04,2005,309967.1378,1735.477811,315712.6186,0.981801548,0.005497018
AMZ04,2006,309922.45,1767.39317,315712.6186,0.981660003,0.005598107
AMZ04,2007,309875.1819,1808.377632,315712.6186,0.981510284,0.005727923
AMZ04,2008,309907.4298,1832.715311,315712.6186,0.981612427,0.005805011
AMZ04,2009,309853.0615,1875.729362,315712.6186,0.981440219,0.005941256
AMZ04,2010,309827.6147,1876.79815,315712.6186,0.981359618,0.005944641
AMZ04,2011,309926.0198,1888.62171,315712.6186,0.98167131,0.005982091
AMZ04,2012,309903.5965,1897.858095,315712.6186,0.981600285,0.006011347
AMZ04,2013,309923.6186,1852.149655,315712.6186,0.981663704,0.005866568
AMZ04,2014,309858.4104,1898.812211,315712.6186,0.981457161,0.006014369
AMZ04,2015,309754.0543,1967.115028,315712.6186,0.98112662,0.006230714
AMZ04,2016,309681.9228,2041.028986,315712.6186,0.980898148,0.006464832
AMZ04,2017,309589.207,2161.153843,315712.6186,0.980604476,0.00684532
AMZ04,2018,309477.5591,2280.054111,315712.6186,0.980250838,0.007221929
AMZ05,1985,359976.9652,15357.20014,381547.2577,0.943466263,0.040249798
AMZ05,1986,359635.0172,15653.83739,381547.2577,0.942570049,0.041027257
AMZ05,1987,359229.145,16188.83942,381547.2577,0.941506295,0.042429448
AMZ05,1988,359087.8522,16332.29275,381547.2577,0.94113598,0.042805426
AMZ05,1989,358747.8845,16677.86395,381547.2577,0.940244956,0.043711136
AMZ05,1990,358086.521,17353.50719,381547.2577,0.938511583,0.045481934
AMZ05,1991,357873.3533,17590.31166,381547.2577,0.937952891,0.046102577
AMZ05,1992,357878.1798,17578.22412,381547.2577,0.937965541,0.046070896
AMZ05,1993,357804.3301,17647.17057,381547.2577,0.937771987,0.046251598
AMZ05,1994,357791.9715,17659.29401,381547.2577,0.937739597,0.046283373
AMZ05,1995,357772.3701,17680.26843,381547.2577,0.937688223,0.046338345
AMZ05,1996,356115.262,19430.49102,381547.2577,0.933345096,0.050925516
AMZ05,1997,355287.4988,20307.90415,381547.2577,0.931175606,0.053225135
AMZ05,1998,354346.2976,21246.61594,381547.2577,0.928708805,0.055685411
AMZ05,1999,354076.5593,21531.79415,381547.2577,0.928001846,0.056432837
AMZ05,2000,353415.9158,22191.80536,381547.2577,0.92627036,0.058162665
AMZ05,2001,353135.2109,22481.21891,381547.2577,0.925534659,0.058921191
AMZ05,2002,352857.4665,22748.00358,381547.2577,0.924806716,0.059620409
AMZ05,2003,352545.3867,23055.98038,381547.2577,0.923988784,0.060427588
AMZ05,2004,352457.8572,23152.78196,381547.2577,0.923759377,0.060681296
AMZ05,2005,352414.8336,23245.11853,381547.2577,0.923646616,0.060923301
AMZ05,2006,352149.5719,23509.2474,381547.2577,0.92295139,0.061615559
AMZ05,2007,351699.3122,23938.82683,381547.2577,0.921771301,0.062741446
AMZ05,2008,351232.2394,24434.13463,381547.2577,0.920547147,0.064039602
AMZ05,2009,350751.1262,24905.18399,381547.2577,0.919286194,0.065274179
AMZ05,2010,350629.9625,24973.56059,381547.2577,0.918968635,0.065453388
AMZ05,2011,350439.9461,25194.51857,381547.2577,0.918470619,0.066032498
AMZ05,2012,350031.4114,25601.85824,381547.2577,0.917399888,0.067100098
AMZ05,2013,349699.0035,25875.86603,381547.2577,0.916528677,0.067818247
AMZ05,2014,349091.8496,26413.89705,381547.2577,0.914937383,0.069228376
AMZ05,2015,348433.2544,27064.98992,381547.2577,0.913211266,0.07093483
AMZ05,2016,347792.0727,27669.6115,381547.2577,0.911530789,0.072519487
AMZ05,2017,347193.2796,28350.56673,381547.2577,0.909961407,0.074304208
AMZ05,2018,346451.4199,29084.95147,381547.2577,0.908017062,0.076228962
AMZ06,1985,240231.8722,8137.479846,255439.7358,0.940463986,0.03185675
AMZ06,1986,240214.2913,8209.634595,255439.7358,0.94039516,0.032139223
AMZ06,1987,240148.4973,8302.250007,255439.7358,0.940137589,0.032501795
AMZ06,1988,240219.6318,8334.556101,255439.7358,0.940416067,0.032628268
AMZ06,1989,240284.633,8297.965462,255439.7358,0.940670535,0.032485022
AMZ06,1990,240483.2355,8077.418316,255439.7358,0.941448028,0.03162162
AMZ06,1991,241088.9973,7548.395776,255439.7358,0.943819475,0.029550593
AMZ06,1992,241021.8879,7587.291605,255439.7358,0.943556754,0.029702864
AMZ06,1993,241012.4347,7587.381911,255439.7358,0.943519746,0.029703217
AMZ06,1994,240985.8046,7562.508292,255439.7358,0.943415494,0.029605841
AMZ06,1995,240953.5703,7609.669791,255439.7358,0.943289303,0.02979047
AMZ06,1996,239190.7527,9680.272208,255439.7358,0.936388193,0.037896501
AMZ06,1997,238959.2468,9999.906414,255439.7358,0.93548189,0.039147811
AMZ06,1998,237738.3755,11272.43921,255439.7358,0.930702401,0.044129545
AMZ06,1999,237453.3061,11540.53586,255439.7358,0.929586407,0.045179094
AMZ06,2000,237406.7033,11552.42229,255439.7358,0.929403965,0.045225627
AMZ06,2001,237312.7534,11630.36199,255439.7358,0.929036168,0.045530747
AMZ06,2002,237314.6782,11657.59163,255439.7358,0.929043704,0.045637346
AMZ06,2003,237461.9732,11516.38952,255439.7358,0.929620337,0.045084566
AMZ06,2004,237360.4883,11604.31918,255439.7358,0.929223042,0.045428794
AMZ06,2005,237275.2547,11692.86202,255439.7358,0.928889368,0.045775423
AMZ06,2006,237202.1815,11788.14982,255439.7358,0.9286033,0.046148458
AMZ06,2007,237153.3313,11874.5607,255439.7358,0.92841206,0.04648674
AMZ06,2008,236935.7973,12098.46222,255439.7358,0.927560454,0.047363274
AMZ06,2009,236951.246,12095.34684,255439.7358,0.927620933,0.047351078
AMZ06,2010,236967.3832,12106.63545,255439.7358,0.927684107,0.047395271
AMZ06,2011,236729.8683,12313.70782,255439.7358,0.926754279,0.048205921
AMZ06,2012,236611.5055,12407.76484,255439.7358,0.926290911,0.048574137
AMZ06,2013,236283.5683,12721.72632,255439.7358,0.925007096,0.049803239
AMZ06,2014,236349.1666,12663.17977,255439.7358,0.925263902,0.04957404
AMZ06,2015,236481.0185,12446.23574,255439.7358,0.925780078,0.048724744
AMZ06,2016,236538.7179,12416.91337,255439.7358,0.926005961,0.048609952
AMZ06,2017,236431.5945,12498.06911,255439.7358,0.925586592,0.048927662
AMZ06,2018,236268.1107,12644.78201,255439.7358,0.924946583,0.049502016
AMZ07,1985,199691.9859,30241.68691,235272.3073,0.848769616,0.128539084
AMZ07,1986,199088.3106,30918.61808,235272.3073,0.846203758,0.131416308
AMZ07,1987,198421.6625,32039.21029,235272.3073,0.843370241,0.136179267
AMZ07,1988,197826.6783,32745.6434,235272.3073,0.840841324,0.139181886
AMZ07,1989,197461.5091,33095.61162,235272.3073,0.839289211,0.140669389
AMZ07,1990,197112.2836,33563.68706,235272.3073,0.837804865,0.142658894
AMZ07,1991,196953.667,33685.4702,235272.3073,0.837130682,0.14317652
AMZ07,1992,197070.908,33612.66237,235272.3073,0.837629002,0.142867058
AMZ07,1993,196980.9367,33740.35521,235272.3073,0.837246589,0.143409803
AMZ07,1994,196791.9609,33937.95284,235272.3073,0.836443367,0.144249671
AMZ07,1995,196634.1151,34073.84529,235272.3073,0.83577246,0.144827267
AMZ07,1996,196402.5668,34302.65129,235272.3073,0.834788289,0.145799783
AMZ07,1997,195844.4487,34865.52954,235272.3073,0.832416067,0.148192237
AMZ07,1998,195489.9127,35356.37245,235272.3073,0.830909149,0.150278513
AMZ07,1999,195145.6963,35736.89117,235272.3073,0.829446094,0.151895867
AMZ07,2000,194748.146,36127.69946,235272.3073,0.827756349,0.153556957
AMZ07,2001,194227.4125,36544.63664,235272.3073,0.825543026,0.155329104
AMZ07,2002,194033.891,36711.22928,235272.3073,0.824720483,0.156037188
AMZ07,2003,193662.0982,37100.12031,235272.3073,0.823140217,0.157690128
AMZ07,2004,193313.3006,37415.29877,235272.3073,0.82165769,0.159029761
AMZ07,2005,192967.7908,37715.68803,235272.3073,0.820189137,0.160306534
AMZ07,2006,192638.7191,38023.03868,235272.3073,0.818790453,0.161612895
AMZ07,2007,192492.8721,38208.03977,235272.3073,0.818170546,0.162399222
AMZ07,2008,192365.3071,38319.07474,235272.3073,0.817628344,0.162871165
AMZ07,2009,192079.8099,38588.70142,235272.3073,0.816414869,0.164017184
AMZ07,2010,191765.7354,38870.35611,235272.3073,0.815079928,0.165214328
AMZ07,2011,191576.4611,39010.11393,235272.3073,0.814275438,0.165808354
AMZ07,2012,191176.1879,39354.47424,235272.3073,0.812574119,0.167272021
AMZ07,2013,190815.5803,39656.57049,235272.3073,0.811041395,0.168556049
AMZ07,2014,190395.5647,39989.7372,235272.3073,0.809256163,0.169972138
AMZ07,2015,190199.1903,40119.91215,235272.3073,0.808421495,0.170525433
AMZ07,2016,190329.1589,39967.06075,235272.3073,0.808973912,0.169875755
AMZ07,2017,190408.6219,39884.08586,235272.3073,0.809311661,0.169523079
AMZ07,2018,190561.4667,39691.21211,235272.3073,0.809961312,0.168703289
AMZ08,1985,212695.7621,13251.54181,241447.8064,0.88091818,0.05488367
AMZ08,1986,212358.0519,13387.45717,241447.8064,0.879519491,0.055446589
AMZ08,1987,211949.1829,13974.6327,241447.8064,0.877826086,0.057878483
AMZ08,1988,210919.4552,14794.07479,241447.8064,0.873561282,0.061272351
AMZ08,1989,210870.2864,15034.73013,241447.8064,0.87335764,0.062269069
AMZ08,1990,210766.2333,15024.55814,241447.8064,0.872926685,0.06222694
AMZ08,1991,210669.5359,14992.39984,241447.8064,0.872526195,0.06209375
AMZ08,1992,210462.8831,15152.57425,241447.8064,0.871670305,0.062757142
AMZ08,1993,210143.7701,15366.06328,241447.8064,0.870348641,0.063641346
AMZ08,1994,210065.7739,15360.57299,241447.8064,0.870025605,0.063618607
AMZ08,1995,209845.2363,15520.39011,241447.8064,0.869112209,0.064280518
AMZ08,1996,209765.9404,15567.63976,241447.8064,0.86878379,0.064476211
AMZ08,1997,209553.4788,15719.98451,241447.8064,0.867903842,0.065107175
AMZ08,1998,209204.2977,16067.52073,241447.8064,0.866457645,0.066546559
AMZ08,1999,209060.9172,16258.43011,241447.8064,0.865863808,0.067337245
AMZ08,2000,208655.6366,16722.09087,241447.8064,0.864185265,0.06925758
AMZ08,2001,208216.9733,17131.4614,241447.8064,0.862368461,0.070953063
AMZ08,2002,208044.7136,17386.871,241447.8064,0.861655016,0.072010888
AMZ08,2003,207666.8461,17705.94166,241447.8064,0.860090009,0.073332377
AMZ08,2004,207280.071,17975.97819,241447.8064,0.85848811,0.074450783
AMZ08,2005,207012.6033,18175.09042,241447.8064,0.857380344,0.075275442
AMZ08,2006,206791.2852,18331.63463,241447.8064,0.856463715,0.075923799
AMZ08,2007,206654.3982,18428.62386,241447.8064,0.855896772,0.076325497
AMZ08,2008,206580.4666,18415.81152,241447.8064,0.855590571,0.076272433
AMZ08,2009,206509.5224,18424.96046,241447.8064,0.855296743,0.076310325
AMZ08,2010,206307.2338,18578.0566,241447.8064,0.854458928,0.0769444
AMZ08,2011,205996.9546,18768.25061,241447.8064,0.85317385,0.077732123
AMZ08,2012,205729.3779,19054.72648,241447.8064,0.852065633,0.078918615
AMZ08,2013,205183.1637,19442.47526,241447.8064,0.849803387,0.080524547
AMZ08,2014,204852.5432,19570.91554,241447.8064,0.848434062,0.081056506
AMZ08,2015,204348.5069,19857.57854,241447.8064,0.846346504,0.082243773
AMZ08,2016,204094.7699,20013.18478,241447.8064,0.845295606,0.082888244
AMZ08,2017,203818.0392,20386.5663,241447.8064,0.844149476,0.084434672
AMZ08,2018,204097.1623,20229.30671,241447.8064,0.845305515,0.083783353
AMZ09,1985,278017.5044,3541.993258,285627.8996,0.973355561,0.012400726
AMZ09,1986,278078.4084,3410.088081,285627.8996,0.973568789,0.011938918
AMZ09,1987,277928.5592,3612.592856,285627.8996,0.973044158,0.012647899
AMZ09,1988,277765.8324,3788.430242,285627.8996,0.972474442,0.013263516
AMZ09,1989,277637.2967,3914.239602,285627.8996,0.972024431,0.013703982
AMZ09,1990,277671.8678,3948.555396,285627.8996,0.972145467,0.013824124
AMZ09,1991,277595.8727,4053.634051,285627.8996,0.971879404,0.01419201
AMZ09,1992,277525.6646,4213.586689,285627.8996,0.971633601,0.014752014
AMZ09,1993,277277.9545,4457.47199,285627.8996,0.970766353,0.01560587
AMZ09,1994,277003.2027,4665.043149,285627.8996,0.969804431,0.016332589
AMZ09,1995,276741.0278,4935.242258,285627.8996,0.968886542,0.017278572
AMZ09,1996,276719.8573,4945.204272,285627.8996,0.968812422,0.01731345
AMZ09,1997,276650.3922,5047.062895,285627.8996,0.968569221,0.017670063
AMZ09,1998,276347.6254,5351.628836,285627.8996,0.967509217,0.018736366
AMZ09,1999,276229.9897,5386.155384,285627.8996,0.967097367,0.018857245
AMZ09,2000,276262.9984,5344.524171,285627.8996,0.967212933,0.018711492
AMZ09,2001,276139.7244,5465.511454,285627.8996,0.966781343,0.019135076
AMZ09,2002,276101.1562,5541.212815,285627.8996,0.966646314,0.019400111
AMZ09,2003,275974.3943,5619.105554,285627.8996,0.966202513,0.019672818
AMZ09,2004,275813.2016,5803.473016,285627.8996,0.965638168,0.020318299
AMZ09,2005,275666.8953,6014.820162,285627.8996,0.965125941,0.021058238
AMZ09,2006,275598.3625,6051.253393,285627.8996,0.964886003,0.021185792
AMZ09,2007,275512.7921,6121.915039,285627.8996,0.964586416,0.021433183
AMZ09,2008,275421.1083,6204.288069,285627.8996,0.964265426,0.021721576
AMZ09,2009,275273.4754,6375.687341,285627.8996,0.963748555,0.022321655
AMZ09,2010,274976.3599,6735.391897,285627.8996,0.962708336,0.023581001
AMZ09,2011,274738.3581,6881.365942,285627.8996,0.961875078,0.024092065
AMZ09,2012,274603.1817,6950.096803,285627.8996,0.961401817,0.024332696
AMZ09,2013,274279.7601,7223.321818,285627.8996,0.960269499,0.025289273
AMZ09,2014,273894.842,7639.520292,285627.8996,0.958921878,0.026746408
AMZ09,2015,273687.2362,7794.730785,285627.8996,0.958195038,0.027289809
AMZ09,2016,273507.4424,8027.543983,285627.8996,0.95756557,0.028104901
AMZ09,2017,273336.195,8194.878916,285627.8996,0.956966023,0.028690751
AMZ09,2018,273476.2532,8117.104659,285627.8996,0.957456374,0.028418459
AMZ10,1985,240854.9424,969.4031605,250035.8212,0.963281746,0.003877057
AMZ10,1986,241082.7222,586.1395986,250035.8212,0.964192735,0.002344223
AMZ10,1987,241180.1665,480.2304906,250035.8212,0.964582456,0.001920647
AMZ10,1988,241059.2245,512.8119183,250035.8212,0.964098757,0.002050954
AMZ10,1989,240972.6831,611.3848315,250035.8212,0.963752641,0.002445189
AMZ10,1990,241107.5817,589.4820201,250035.8212,0.964292158,0.00235759
AMZ10,1991,241064.07,527.5382828,250035.8212,0.964118137,0.002109851
AMZ10,1992,241192.8895,622.4957675,250035.8212,0.964633341,0.002489626
AMZ10,1993,240955.7073,651.9063561,250035.8212,0.963684748,0.002607252
AMZ10,1994,240970.6194,622.8071826,250035.8212,0.963744388,0.002490872
AMZ10,1995,241116.0864,742.4946779,250035.8212,0.964326172,0.002969553
AMZ10,1996,241086.3049,655.6176304,250035.8212,0.964207063,0.002622095
AMZ10,1997,241282.8967,602.9320965,250035.8212,0.964993318,0.002411383
AMZ10,1998,241089.9081,672.5382243,250035.8212,0.964221474,0.002689767
AMZ10,1999,240771.1186,836.4123745,250035.8212,0.962946499,0.00334517
AMZ10,2000,241505.0118,792.0126687,250035.8212,0.965881651,0.003167597
AMZ10,2001,241399.3856,781.3912027,250035.8212,0.965459207,0.003125117
AMZ10,2002,241228.6338,735.6184579,250035.8212,0.964776297,0.002942052
AMZ10,2003,241287.6429,751.5705812,250035.8212,0.9650123,0.003005852
AMZ10,2004,241263.5513,803.057638,250035.8212,0.964915947,0.00321177
AMZ10,2005,241489.9449,756.7480038,250035.8212,0.965821392,0.003026558
AMZ10,2006,241628.442,709.9332338,250035.8212,0.966375301,0.002839326
AMZ10,2007,241528.8995,663.6800111,250035.8212,0.965977188,0.00265434
AMZ10,2008,241777.1622,537.8571483,250035.8212,0.966970097,0.00215112
AMZ10,2009,241493.6378,585.0943189,250035.8212,0.965836162,0.002340042
AMZ10,2010,241657.1027,643.6846439,250035.8212,0.966489927,0.00257437
AMZ10,2011,241633.5135,669.312099,250035.8212,0.966395584,0.002676865
AMZ10,2012,241710.6351,618.7807525,250035.8212,0.966704026,0.002474768
AMZ10,2013,241558.6225,581.6647884,250035.8212,0.966096063,0.002326326
AMZ10,2014,241387.673,670.8593849,250035.8212,0.965412363,0.002683053
AMZ10,2015,241050.9704,910.9295553,250035.8212,0.964065746,0.003643196
AMZ10,2016,241076.8694,1035.402028,250035.8212,0.964169327,0.004141015
AMZ10,2017,241122.3693,1024.610024,250035.8212,0.9643513,0.004097853
AMZ10,2018,241220.3382,979.0772334,250035.8212,0.96474312,0.003915748
AMZ11,1985,245883.4438,1785.605019,258525.51,0.951099347,0.006906881
AMZ11,1986,246070.5461,1144.164444,258525.51,0.951823076,0.004425731
AMZ11,1987,246032.9008,1263.486718,258525.51,0.95167746,0.004887281
AMZ11,1988,246134.4221,1371.426995,258525.51,0.952070154,0.005304803
AMZ11,1989,246060.0342,1395.572191,258525.51,0.951782415,0.005398199
AMZ11,1990,246348.4511,1186.40307,258525.51,0.952898037,0.004589114
AMZ11,1991,246237.9251,1087.409717,258525.51,0.952470513,0.004206199
AMZ11,1992,246293.6761,1270.491612,258525.51,0.952686163,0.004914376
AMZ11,1993,245656.4371,1418.323498,258525.51,0.950221265,0.005486203
AMZ11,1994,245673.8982,1526.118387,258525.51,0.950288806,0.005903164
AMZ11,1995,246322.4172,1357.996199,258525.51,0.952797336,0.005252852
AMZ11,1996,246024.5879,1318.053161,258525.51,0.951645305,0.005098349
AMZ11,1997,245756.2644,1535.96763,258525.51,0.950607406,0.005941261
AMZ11,1998,245580.3645,1927.372624,258525.51,0.949927009,0.007455251
AMZ11,1999,245136.0125,1899.739227,258525.51,0.948208216,0.007348363
AMZ11,2000,245556.9643,1767.913048,258525.51,0.949836495,0.006838447
AMZ11,2001,245779.4991,1777.821956,258525.51,0.95069728,0.006876776
AMZ11,2002,245691.4799,1821.90563,258525.51,0.950356814,0.007047295
AMZ11,2003,245901.2184,1726.468787,258525.51,0.951168101,0.006678137
AMZ11,2004,245901.2171,1753.179893,258525.51,0.951168096,0.006781458
